
Predictions were generated on 08-Sep-2020 at 15:27:37 using BeamDyn




Time	TipTDxr   	TipTDyr   	TipTDzr   
(s)	(m)	(m)	(m)
       0.000000	 0.000E+00	 0.000E+00	 0.000E+00
       0.002000	 5.417E-08	 5.362E-08	 0.000E+00
       0.004000	 2.150E-07	 2.123E-07	 0.000E+00
       0.006000	 4.783E-07	 4.704E-07	 0.000E+00
       0.008000	 8.394E-07	 8.217E-07	-7.105E-15
       0.010000	 1.295E-06	 1.261E-06	-2.132E-14
       0.012000	 1.842E-06	 1.784E-06	-4.974E-14
       0.014000	 2.480E-06	 2.387E-06	-9.948E-14
       0.016000	 3.211E-06	 3.072E-06	-1.847E-13
       0.018000	 4.036E-06	 3.837E-06	-3.055E-13
       0.020000	 4.961E-06	 4.684E-06	-4.903E-13
       0.022000	 5.987E-06	 5.614E-06	-7.461E-13
       0.024000	 7.119E-06	 6.626E-06	-1.094E-12
       0.026000	 8.358E-06	 7.718E-06	-1.563E-12
       0.028000	 9.705E-06	 8.887E-06	-2.160E-12
       0.030000	 1.116E-05	 1.013E-05	-2.920E-12
       0.032000	 1.272E-05	 1.144E-05	-3.865E-12
       0.034000	 1.438E-05	 1.281E-05	-5.016E-12
       0.036000	 1.614E-05	 1.423E-05	-6.402E-12
       0.038000	 1.800E-05	 1.570E-05	-8.043E-12
       0.040000	 1.995E-05	 1.721E-05	-9.955E-12
       0.042000	 2.200E-05	 1.875E-05	-1.216E-11
       0.044000	 2.413E-05	 2.033E-05	-1.466E-11
       0.046000	 2.634E-05	 2.194E-05	-1.748E-11
       0.048000	 2.865E-05	 2.358E-05	-2.063E-11
       0.050000	 3.103E-05	 2.524E-05	-2.412E-11
       0.052000	 3.349E-05	 2.692E-05	-2.796E-11
       0.054000	 3.603E-05	 2.862E-05	-3.217E-11
       0.056000	 3.864E-05	 3.034E-05	-3.674E-11
       0.058000	 4.131E-05	 3.206E-05	-4.168E-11
       0.060000	 4.405E-05	 3.380E-05	-4.700E-11
       0.062000	 4.684E-05	 3.555E-05	-5.269E-11
       0.064000	 4.968E-05	 3.730E-05	-5.875E-11
       0.066000	 5.257E-05	 3.907E-05	-6.516E-11
       0.068000	 5.550E-05	 4.084E-05	-7.191E-11
       0.070000	 5.847E-05	 4.262E-05	-7.901E-11
       0.072000	 6.147E-05	 4.442E-05	-8.642E-11
       0.074000	 6.450E-05	 4.623E-05	-9.414E-11
       0.076000	 6.756E-05	 4.807E-05	-1.022E-10
       0.078000	 7.064E-05	 4.993E-05	-1.105E-10
       0.080000	 7.374E-05	 5.183E-05	-1.192E-10
       0.082000	 7.686E-05	 5.375E-05	-1.281E-10
       0.084000	 8.000E-05	 5.572E-05	-1.374E-10
       0.086000	 8.315E-05	 5.773E-05	-1.469E-10
       0.088000	 8.632E-05	 5.979E-05	-1.568E-10
       0.090000	 8.950E-05	 6.190E-05	-1.669E-10
       0.092000	 9.270E-05	 6.407E-05	-1.775E-10
       0.094000	 9.591E-05	 6.630E-05	-1.883E-10
       0.096000	 9.913E-05	 6.860E-05	-1.995E-10
       0.098000	 1.024E-04	 7.097E-05	-2.111E-10
       0.100000	 1.056E-04	 7.341E-05	-2.230E-10
       0.102000	 1.089E-04	 7.593E-05	-2.354E-10
       0.104000	 1.122E-04	 7.852E-05	-2.483E-10
       0.106000	 1.155E-04	 8.120E-05	-2.616E-10
       0.108000	 1.188E-04	 8.396E-05	-2.755E-10
       0.110000	 1.222E-04	 8.680E-05	-2.900E-10
       0.112000	 1.256E-04	 8.973E-05	-3.050E-10
       0.114000	 1.290E-04	 9.274E-05	-3.208E-10
       0.116000	 1.325E-04	 9.583E-05	-3.372E-10
       0.118000	 1.360E-04	 9.900E-05	-3.544E-10
       0.120000	 1.395E-04	 1.022E-04	-3.723E-10
       0.122000	 1.431E-04	 1.056E-04	-3.911E-10
       0.124000	 1.467E-04	 1.090E-04	-4.108E-10
       0.126000	 1.504E-04	 1.124E-04	-4.314E-10
       0.128000	 1.541E-04	 1.160E-04	-4.529E-10
       0.130000	 1.579E-04	 1.196E-04	-4.754E-10
       0.132000	 1.617E-04	 1.232E-04	-4.990E-10
       0.134000	 1.656E-04	 1.270E-04	-5.236E-10
       0.136000	 1.695E-04	 1.307E-04	-5.493E-10
       0.138000	 1.735E-04	 1.346E-04	-5.761E-10
       0.140000	 1.775E-04	 1.384E-04	-6.040E-10
       0.142000	 1.816E-04	 1.423E-04	-6.332E-10
       0.144000	 1.858E-04	 1.463E-04	-6.635E-10
       0.146000	 1.900E-04	 1.503E-04	-6.951E-10
       0.148000	 1.943E-04	 1.543E-04	-7.279E-10
       0.150000	 1.987E-04	 1.584E-04	-7.619E-10
       0.152000	 2.031E-04	 1.624E-04	-7.972E-10
       0.154000	 2.075E-04	 1.665E-04	-8.338E-10
       0.156000	 2.120E-04	 1.706E-04	-8.717E-10
       0.158000	 2.166E-04	 1.747E-04	-9.109E-10
       0.160000	 2.213E-04	 1.789E-04	-9.514E-10
       0.162000	 2.260E-04	 1.830E-04	-9.933E-10
       0.164000	 2.308E-04	 1.871E-04	-1.037E-09
       0.166000	 2.356E-04	 1.913E-04	-1.081E-09
       0.168000	 2.405E-04	 1.954E-04	-1.127E-09
       0.170000	 2.455E-04	 1.995E-04	-1.174E-09
       0.172000	 2.505E-04	 2.037E-04	-1.223E-09
       0.174000	 2.556E-04	 2.078E-04	-1.274E-09
       0.176000	 2.608E-04	 2.119E-04	-1.325E-09
       0.178000	 2.661E-04	 2.160E-04	-1.379E-09
       0.180000	 2.714E-04	 2.200E-04	-1.433E-09
       0.182000	 2.768E-04	 2.241E-04	-1.490E-09
       0.184000	 2.823E-04	 2.281E-04	-1.548E-09
       0.186000	 2.879E-04	 2.321E-04	-1.607E-09
       0.188000	 2.935E-04	 2.361E-04	-1.669E-09
       0.190000	 2.992E-04	 2.401E-04	-1.732E-09
       0.192000	 3.051E-04	 2.440E-04	-1.797E-09
       0.194000	 3.110E-04	 2.479E-04	-1.864E-09
       0.196000	 3.170E-04	 2.518E-04	-1.933E-09
       0.198000	 3.231E-04	 2.557E-04	-2.004E-09
       0.200000	 3.292E-04	 2.596E-04	-2.077E-09
       0.202000	 3.355E-04	 2.635E-04	-2.153E-09
       0.204000	 3.419E-04	 2.673E-04	-2.230E-09
       0.206000	 3.484E-04	 2.712E-04	-2.310E-09
       0.208000	 3.550E-04	 2.750E-04	-2.393E-09
       0.210000	 3.617E-04	 2.788E-04	-2.478E-09
       0.212000	 3.684E-04	 2.827E-04	-2.567E-09
       0.214000	 3.753E-04	 2.865E-04	-2.657E-09
       0.216000	 3.823E-04	 2.904E-04	-2.751E-09
       0.218000	 3.894E-04	 2.942E-04	-2.848E-09
       0.220000	 3.966E-04	 2.981E-04	-2.948E-09
       0.222000	 4.038E-04	 3.020E-04	-3.051E-09
       0.224000	 4.112E-04	 3.059E-04	-3.157E-09
       0.226000	 4.187E-04	 3.098E-04	-3.267E-09
       0.228000	 4.262E-04	 3.138E-04	-3.380E-09
       0.230000	 4.338E-04	 3.177E-04	-3.496E-09
       0.232000	 4.416E-04	 3.217E-04	-3.616E-09
       0.234000	 4.493E-04	 3.258E-04	-3.739E-09
       0.236000	 4.572E-04	 3.298E-04	-3.866E-09
