
Predictions were generated on 11-Sep-2021 at 11:53:05 using BeamDyn




Time	TipTDxr   	TipTDyr   	TipTDzr   
(s)	(m)	(m)	(m)
       0.000000	 0.000E+00	 0.000E+00	 0.000E+00
       0.002000	 2.708E-04	 5.363E-04	-2.094E-09
       0.004000	 1.075E-03	 2.123E-03	-2.649E-08
       0.006000	 2.391E-03	 4.704E-03	-1.413E-07
       0.008000	 4.197E-03	 8.218E-03	-4.921E-07
       0.010000	 6.473E-03	 1.261E-02	-1.320E-06
       0.012000	 9.208E-03	 1.784E-02	-2.967E-06
       0.014000	 1.240E-02	 2.388E-02	-5.879E-06
       0.016000	 1.605E-02	 3.073E-02	-1.060E-05
       0.018000	 2.018E-02	 3.839E-02	-1.778E-05
       0.020000	 2.479E-02	 4.687E-02	-2.818E-05
       0.022000	 2.992E-02	 5.617E-02	-4.268E-05
       0.024000	 3.557E-02	 6.631E-02	-6.224E-05
       0.026000	 4.175E-02	 7.725E-02	-8.794E-05
       0.028000	 4.847E-02	 8.897E-02	-1.209E-04
       0.030000	 5.572E-02	 1.014E-01	-1.622E-04
       0.032000	 6.349E-02	 1.145E-01	-2.129E-04
       0.034000	 7.177E-02	 1.283E-01	-2.739E-04
       0.036000	 8.054E-02	 1.426E-01	-3.459E-04
       0.038000	 8.978E-02	 1.573E-01	-4.297E-04
       0.040000	 9.948E-02	 1.725E-01	-5.256E-04
       0.042000	 1.096E-01	 1.881E-01	-6.339E-04
       0.044000	 1.202E-01	 2.039E-01	-7.548E-04
       0.046000	 1.312E-01	 2.202E-01	-8.884E-04
       0.048000	 1.426E-01	 2.366E-01	-1.035E-03
       0.050000	 1.544E-01	 2.534E-01	-1.194E-03
       0.052000	 1.666E-01	 2.703E-01	-1.366E-03
       0.054000	 1.791E-01	 2.875E-01	-1.550E-03
       0.056000	 1.920E-01	 3.048E-01	-1.748E-03
       0.058000	 2.052E-01	 3.222E-01	-1.957E-03
       0.060000	 2.187E-01	 3.397E-01	-2.179E-03
       0.062000	 2.325E-01	 3.574E-01	-2.412E-03
       0.064000	 2.465E-01	 3.751E-01	-2.656E-03
       0.066000	 2.607E-01	 3.929E-01	-2.911E-03
       0.068000	 2.752E-01	 4.108E-01	-3.177E-03
       0.070000	 2.898E-01	 4.288E-01	-3.454E-03
       0.072000	 3.045E-01	 4.470E-01	-3.741E-03
       0.074000	 3.194E-01	 4.653E-01	-4.040E-03
       0.076000	 3.344E-01	 4.839E-01	-4.350E-03
       0.078000	 3.496E-01	 5.027E-01	-4.673E-03
       0.080000	 3.648E-01	 5.218E-01	-5.010E-03
       0.082000	 3.802E-01	 5.412E-01	-5.361E-03
       0.084000	 3.956E-01	 5.610E-01	-5.728E-03
       0.086000	 4.111E-01	 5.812E-01	-6.112E-03
       0.088000	 4.267E-01	 6.020E-01	-6.515E-03
       0.090000	 4.424E-01	 6.232E-01	-6.937E-03
       0.092000	 4.582E-01	 6.450E-01	-7.381E-03
       0.094000	 4.740E-01	 6.674E-01	-7.849E-03
       0.096000	 4.899E-01	 6.905E-01	-8.342E-03
       0.098000	 5.059E-01	 7.142E-01	-8.861E-03
       0.100000	 5.220E-01	 7.387E-01	-9.410E-03
       0.102000	 5.382E-01	 7.639E-01	-9.991E-03
       0.104000	 5.546E-01	 7.899E-01	-1.061E-02
       0.106000	 5.710E-01	 8.167E-01	-1.126E-02
       0.108000	 5.876E-01	 8.443E-01	-1.195E-02
       0.110000	 6.044E-01	 8.727E-01	-1.268E-02
       0.112000	 6.213E-01	 9.020E-01	-1.345E-02
       0.114000	 6.385E-01	 9.320E-01	-1.427E-02
       0.116000	 6.558E-01	 9.629E-01	-1.513E-02
       0.118000	 6.733E-01	 9.946E-01	-1.605E-02
       0.120000	 6.911E-01	 1.027E+00	-1.702E-02
       0.122000	 7.091E-01	 1.060E+00	-1.804E-02
       0.124000	 7.273E-01	 1.094E+00	-1.912E-02
       0.126000	 7.458E-01	 1.129E+00	-2.025E-02
       0.128000	 7.645E-01	 1.164E+00	-2.144E-02
       0.130000	 7.835E-01	 1.200E+00	-2.270E-02
       0.132000	 8.028E-01	 1.237E+00	-2.401E-02
       0.134000	 8.224E-01	 1.274E+00	-2.539E-02
       0.136000	 8.423E-01	 1.312E+00	-2.683E-02
       0.138000	 8.624E-01	 1.350E+00	-2.834E-02
       0.140000	 8.829E-01	 1.389E+00	-2.991E-02
       0.142000	 9.036E-01	 1.428E+00	-3.155E-02
       0.144000	 9.247E-01	 1.468E+00	-3.325E-02
       0.146000	 9.461E-01	 1.508E+00	-3.502E-02
       0.148000	 9.677E-01	 1.548E+00	-3.685E-02
       0.150000	 9.897E-01	 1.589E+00	-3.875E-02
       0.152000	 1.012E+00	 1.629E+00	-4.072E-02
       0.154000	 1.034E+00	 1.671E+00	-4.275E-02
       0.156000	 1.057E+00	 1.712E+00	-4.485E-02
       0.158000	 1.080E+00	 1.753E+00	-4.701E-02
       0.160000	 1.104E+00	 1.795E+00	-4.923E-02
       0.162000	 1.128E+00	 1.836E+00	-5.152E-02
       0.164000	 1.152E+00	 1.878E+00	-5.387E-02
       0.166000	 1.176E+00	 1.920E+00	-5.629E-02
       0.168000	 1.201E+00	 1.962E+00	-5.876E-02
       0.170000	 1.226E+00	 2.003E+00	-6.130E-02
       0.172000	 1.251E+00	 2.045E+00	-6.390E-02
       0.174000	 1.277E+00	 2.086E+00	-6.655E-02
       0.176000	 1.302E+00	 2.128E+00	-6.927E-02
       0.178000	 1.329E+00	 2.169E+00	-7.204E-02
       0.180000	 1.355E+00	 2.210E+00	-7.488E-02
       0.182000	 1.382E+00	 2.251E+00	-7.777E-02
       0.184000	 1.410E+00	 2.292E+00	-8.072E-02
       0.186000	 1.437E+00	 2.333E+00	-8.374E-02
       0.188000	 1.465E+00	 2.374E+00	-8.681E-02
       0.190000	 1.494E+00	 2.414E+00	-8.994E-02
       0.192000	 1.523E+00	 2.454E+00	-9.314E-02
       0.194000	 1.552E+00	 2.495E+00	-9.640E-02
       0.196000	 1.582E+00	 2.534E+00	-9.973E-02
       0.198000	 1.612E+00	 2.574E+00	-1.031E-01
       0.200000	 1.643E+00	 2.614E+00	-1.066E-01
       0.202000	 1.674E+00	 2.654E+00	-1.101E-01
       0.204000	 1.705E+00	 2.693E+00	-1.138E-01
       0.206000	 1.737E+00	 2.733E+00	-1.175E-01
       0.208000	 1.770E+00	 2.772E+00	-1.213E-01
       0.210000	 1.803E+00	 2.812E+00	-1.252E-01
       0.212000	 1.836E+00	 2.852E+00	-1.292E-01
       0.214000	 1.870E+00	 2.891E+00	-1.332E-01
       0.216000	 1.905E+00	 2.931E+00	-1.374E-01
       0.218000	 1.939E+00	 2.971E+00	-1.417E-01
       0.220000	 1.975E+00	 3.011E+00	-1.461E-01
       0.222000	 2.011E+00	 3.052E+00	-1.507E-01
       0.224000	 2.047E+00	 3.092E+00	-1.553E-01
       0.226000	 2.084E+00	 3.133E+00	-1.601E-01
       0.228000	 2.121E+00	 3.174E+00	-1.650E-01
       0.230000	 2.158E+00	 3.216E+00	-1.701E-01
       0.232000	 2.196E+00	 3.257E+00	-1.753E-01
       0.234000	 2.235E+00	 3.299E+00	-1.806E-01
       0.236000	 2.273E+00	 3.342E+00	-1.861E-01
