
Predictions were generated on 05-Jul-2022 at 09:41:03 using BeamDyn




Time	TipTDxr   	TipTDyr   	TipTDzr   
(s)	(m)	(m)	(m)
       0.000000	 0.000E+00	 0.000E+00	 0.000E+00
       0.004000	 2.101E-05	-4.918E-09	-5.464E-12
       0.008000	 8.292E-05	-2.926E-08	-6.886E-11
       0.012000	 1.835E-04	-1.022E-07	-3.520E-10
       0.016000	 3.219E-04	-2.740E-07	-1.176E-09
       0.020000	 4.985E-04	-6.202E-07	-3.059E-09
       0.024000	 7.151E-04	-1.241E-06	-6.755E-09
       0.028000	 9.729E-04	-2.252E-06	-1.328E-08
       0.032000	 1.273E-03	-3.772E-06	-2.392E-08
       0.036000	 1.614E-03	-5.908E-06	-4.017E-08
       0.040000	 1.995E-03	-8.743E-06	-6.363E-08
       0.044000	 2.415E-03	-1.233E-05	-9.593E-08
       0.048000	 2.869E-03	-1.669E-05	-1.386E-07
       0.052000	 3.356E-03	-2.180E-05	-1.928E-07
       0.056000	 3.874E-03	-2.760E-05	-2.599E-07
       0.060000	 4.419E-03	-3.399E-05	-3.404E-07
       0.064000	 4.988E-03	-4.083E-05	-4.348E-07
       0.068000	 5.577E-03	-4.793E-05	-5.430E-07
       0.072000	 6.183E-03	-5.509E-05	-6.643E-07
       0.076000	 6.803E-03	-6.207E-05	-7.975E-07
       0.080000	 7.434E-03	-6.864E-05	-9.415E-07
       0.084000	 8.072E-03	-7.459E-05	-1.095E-06
       0.088000	 8.717E-03	-7.973E-05	-1.255E-06
       0.092000	 9.368E-03	-8.395E-05	-1.422E-06
       0.096000	 1.002E-02	-8.716E-05	-1.595E-06
       0.100000	 1.068E-02	-8.935E-05	-1.773E-06
       0.104000	 1.135E-02	-9.058E-05	-1.957E-06
       0.108000	 1.202E-02	-9.096E-05	-2.147E-06
       0.112000	 1.270E-02	-9.068E-05	-2.344E-06
       0.116000	 1.339E-02	-8.996E-05	-2.551E-06
       0.120000	 1.409E-02	-8.907E-05	-2.769E-06
       0.124000	 1.481E-02	-8.830E-05	-3.000E-06
       0.128000	 1.554E-02	-8.796E-05	-3.248E-06
       0.132000	 1.629E-02	-8.834E-05	-3.515E-06
       0.136000	 1.706E-02	-8.972E-05	-3.805E-06
       0.140000	 1.785E-02	-9.238E-05	-4.118E-06
       0.144000	 1.867E-02	-9.653E-05	-4.459E-06
       0.148000	 1.950E-02	-1.024E-04	-4.830E-06
       0.152000	 2.037E-02	-1.101E-04	-5.233E-06
       0.156000	 2.125E-02	-1.199E-04	-5.671E-06
       0.160000	 2.217E-02	-1.319E-04	-6.146E-06
       0.164000	 2.311E-02	-1.461E-04	-6.661E-06
       0.168000	 2.408E-02	-1.628E-04	-7.219E-06
       0.172000	 2.508E-02	-1.820E-04	-7.822E-06
       0.176000	 2.611E-02	-2.039E-04	-8.473E-06
       0.180000	 2.717E-02	-2.287E-04	-9.177E-06
       0.184000	 2.827E-02	-2.563E-04	-9.937E-06
       0.188000	 2.940E-02	-2.871E-04	-1.076E-05
       0.192000	 3.056E-02	-3.211E-04	-1.164E-05
       0.196000	 3.176E-02	-3.584E-04	-1.260E-05
       0.200000	 3.300E-02	-3.991E-04	-1.363E-05
       0.204000	 3.428E-02	-4.433E-04	-1.475E-05
       0.208000	 3.560E-02	-4.910E-04	-1.595E-05
       0.212000	 3.696E-02	-5.422E-04	-1.725E-05
       0.216000	 3.836E-02	-5.968E-04	-1.864E-05
       0.220000	 3.980E-02	-6.548E-04	-2.015E-05
       0.224000	 4.129E-02	-7.158E-04	-2.176E-05
       0.228000	 4.280E-02	-7.799E-04	-2.348E-05
       0.232000	 4.436E-02	-8.467E-04	-2.533E-05
       0.236000	 4.595E-02	-9.160E-04	-2.729E-05
       0.240000	 4.757E-02	-9.876E-04	-2.938E-05
       0.244000	 4.921E-02	-1.061E-03	-3.159E-05
       0.248000	 5.089E-02	-1.137E-03	-3.393E-05
       0.252000	 5.258E-02	-1.213E-03	-3.639E-05
       0.256000	 5.429E-02	-1.292E-03	-3.896E-05
       0.260000	 5.602E-02	-1.371E-03	-4.166E-05
       0.264000	 5.776E-02	-1.452E-03	-4.446E-05
       0.268000	 5.951E-02	-1.533E-03	-4.738E-05
       0.272000	 6.127E-02	-1.616E-03	-5.040E-05
       0.276000	 6.303E-02	-1.699E-03	-5.352E-05
       0.280000	 6.479E-02	-1.783E-03	-5.674E-05
       0.284000	 6.655E-02	-1.868E-03	-6.004E-05
       0.288000	 6.832E-02	-1.954E-03	-6.344E-05
       0.292000	 7.008E-02	-2.041E-03	-6.693E-05
       0.296000	 7.185E-02	-2.129E-03	-7.049E-05
       0.300000	 7.360E-02	-2.218E-03	-7.414E-05
       0.304000	 7.536E-02	-2.308E-03	-7.786E-05
       0.308000	 7.711E-02	-2.399E-03	-8.165E-05
       0.312000	 7.886E-02	-2.492E-03	-8.552E-05
       0.316000	 8.061E-02	-2.586E-03	-8.946E-05
       0.320000	 8.235E-02	-2.681E-03	-9.346E-05
       0.324000	 8.408E-02	-2.778E-03	-9.754E-05
       0.328000	 8.581E-02	-2.876E-03	-1.017E-04
       0.332000	 8.753E-02	-2.976E-03	-1.059E-04
       0.336000	 8.925E-02	-3.077E-03	-1.101E-04
       0.340000	 9.096E-02	-3.180E-03	-1.145E-04
       0.344000	 9.266E-02	-3.285E-03	-1.189E-04
       0.348000	 9.436E-02	-3.391E-03	-1.233E-04
       0.352000	 9.606E-02	-3.500E-03	-1.278E-04
       0.356000	 9.775E-02	-3.610E-03	-1.324E-04
       0.360000	 9.944E-02	-3.723E-03	-1.371E-04
       0.364000	 1.011E-01	-3.838E-03	-1.418E-04
       0.368000	 1.028E-01	-3.957E-03	-1.467E-04
       0.372000	 1.045E-01	-4.078E-03	-1.516E-04
       0.376000	 1.062E-01	-4.202E-03	-1.566E-04
       0.380000	 1.079E-01	-4.329E-03	-1.617E-04
       0.384000	 1.096E-01	-4.460E-03	-1.669E-04
       0.388000	 1.113E-01	-4.595E-03	-1.723E-04
       0.392000	 1.130E-01	-4.734E-03	-1.777E-04
       0.396000	 1.148E-01	-4.877E-03	-1.833E-04
       0.400000	 1.165E-01	-5.024E-03	-1.891E-04
       0.404000	 1.182E-01	-5.176E-03	-1.949E-04
       0.408000	 1.200E-01	-5.332E-03	-2.009E-04
       0.412000	 1.218E-01	-5.492E-03	-2.071E-04
       0.416000	 1.235E-01	-5.657E-03	-2.133E-04
       0.420000	 1.253E-01	-5.826E-03	-2.197E-04
       0.424000	 1.271E-01	-5.999E-03	-2.262E-04
       0.428000	 1.289E-01	-6.176E-03	-2.328E-04
       0.432000	 1.306E-01	-6.356E-03	-2.396E-04
       0.436000	 1.324E-01	-6.540E-03	-2.464E-04
       0.440000	 1.342E-01	-6.727E-03	-2.533E-04
       0.444000	 1.360E-01	-6.917E-03	-2.603E-04
       0.448000	 1.377E-01	-7.110E-03	-2.674E-04
       0.452000	 1.395E-01	-7.304E-03	-2.745E-04
       0.456000	 1.412E-01	-7.501E-03	-2.816E-04
       0.460000	 1.429E-01	-7.699E-03	-2.888E-04
       0.464000	 1.446E-01	-7.898E-03	-2.960E-04
       0.468000	 1.463E-01	-8.099E-03	-3.032E-04
       0.472000	 1.479E-01	-8.300E-03	-3.103E-04
